iter	Passed	Remaining
0	1	1978
1	3	1554
2	4	1345
3	4	1215
4	6	1228
5	7	1235
6	8	1202
7	9	1136
8	10	1101
9	10	1058
10	11	1031
11	12	1000
12	13	988
13	14	1017
14	15	1009
15	16	1007
16	17	1027
17	18	1023
18	19	1010
19	20	1011
20	22	1061
21	23	1048
22	24	1039
23	25	1027
24	26	1014
25	27	1023
26	28	1018
27	30	1069
28	31	1068
29	32	1062
30	33	1053
31	34	1040
32	35	1034
33	36	1025
34	36	1015
35	37	1007
36	38	999
37	39	992
38	40	987
39	41	998
40	42	1000
41	43	1002
42	44	994
43	45	987
44	46	979
45	46	972
46	47	964
47	48	957
48	49	954
49	49	946
50	50	941
51	51	936
52	52	929
53	53	934
54	54	936
55	55	935
56	56	933
57	57	930
58	58	926
59	58	922
60	59	920
61	60	917
62	62	923
63	62	920
64	63	916
65	64	911
66	65	909
67	67	923
68	68	924
69	69	922
70	70	918
71	70	914
72	71	910
73	72	905
74	73	902
75	74	900
76	74	897
77	76	898
78	76	893
79	77	891
80	78	889
81	79	885
82	80	884
83	81	884
84	82	884
85	83	882
86	83	877
87	84	874
88	85	872
89	86	873
90	87	870
91	87	867
92	88	865
93	89	863
94	90	860
95	91	858
96	91	855
97	93	862
98	95	865
99	95	862
100	97	868
101	98	867
102	99	864
103	99	861
104	100	859
105	101	858
106	102	856
107	103	853
108	104	851
109	104	849
110	106	851
111	107	852
112	108	851
113	110	860
114	111	858
115	112	856
116	113	853
117	113	851
118	114	849
119	115	846
120	115	842
121	116	839
122	117	837
123	118	835
124	119	839
125	122	850
126	123	847
127	125	852
128	126	854
129	127	853
130	128	853
131	129	850
132	130	848
133	130	845
134	131	844
135	132	842
136	133	842
137	134	840
138	135	840
139	136	841
140	137	840
141	139	840
142	139	837
143	140	837
144	141	835
145	142	834
146	143	833
147	144	831
148	146	834
149	148	841
150	149	839
151	150	839
152	151	839
153	152	838
154	153	837
155	154	834
156	154	832
157	155	830
158	156	827
159	157	825
160	157	822
161	159	823
162	160	823
163	162	826
164	163	825
165	164	824
166	165	824
167	165	821
168	166	820
169	168	823
170	169	821
171	170	820
172	172	822
173	173	823
174	174	824
175	176	824
176	177	823
177	177	821
178	180	827
179	182	831
180	183	829
181	184	828
182	186	832
183	187	830
184	188	829
185	189	827
186	189	826
187	190	824
188	192	824
189	193	826
190	194	824
191	195	821
192	196	820
193	197	818
194	198	819
195	199	819
196	200	817
197	201	816
198	202	815
199	203	814
200	204	813
201	205	811
202	206	812
203	207	810
204	208	809
205	209	807
206	210	805
207	211	803
208	211	801
209	213	801
210	214	803
211	215	801
212	216	800
213	217	797
